@relation 'TrainingData_g1-10-weka.filters.unsupervised.attribute.Remove-V-R10,19,21,23,25'

@attribute current_PC_bedroom {off,standby,on}
@attribute current_nightlamp_bedroom {off,standby,on}
@attribute people_livingroom {off,on}
@attribute people_kitchen {off,on}
@attribute class {OtherActivity,g1-10}

@data
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,on,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,on,off,off,g1-10
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,on,off,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,on,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
