@relation 'TrainingData_g2-9-weka.filters.unsupervised.attribute.Remove-V-R4,7,14-15,22-23,25'

@attribute light_kitchen {off,on}
@attribute audio_livingroom {off,on}
@attribute current_microwave_kitchen {off,standby,on}
@attribute current_AC_bedroom {off,standby,on}
@attribute people_bedroom {off,on}
@attribute people_kitchen {off,on}
@attribute class {OtherActivity,g2-9}

@data
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,on,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
on,off,standby,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,off,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,off,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
on,off,standby,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
on,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,on,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
on,off,on,standby,off,on,g2-9
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
