@relation 'TrainingData_g2-4-weka.filters.unsupervised.attribute.Remove-V-R7-8,22,25'

@attribute audio_livingroom {off,on}
@attribute current_watercoldfan_livingroom {off,standby,on}
@attribute people_bedroom {off,on}
@attribute class {OtherActivity,g2-4}

@data
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,on,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
off,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
off,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
on,on,off,g2-4
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
