@relation 'TrainingData_g2-5-weka.filters.unsupervised.attribute.Remove-V-R1,10,12,15-16,25'

@attribute light_livingroom {off,on}
@attribute current_PC_bedroom {off,standby,on}
@attribute current_lamp_livingroom {off,standby,on}
@attribute current_AC_bedroom {off,standby,on}
@attribute current_AC_livingroom {off,standby,on}
@attribute class {OtherActivity,g2-5}

@data
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,off,off,standby,OtherActivity
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,off,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,on,standby,standby,g2-5
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
on,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
off,standby,off,standby,standby,OtherActivity
